"status","country","zip_code","address","zip_code_latitude_wgs84","zip_code_longitude_wgs84","municipalities"
"OK","France","02470","02470 France",49.1563953771,3.2282419713,"SOMMELANS|PRIEZ|DAMMARD|MARIZY STE GENEVIEVE|MARIZY ST MARD|MACOGNY|MONNES|NEUILLY ST FRONT|PASSY EN VALOIS"
"OK","France","02480","02480 France",49.7425320424,3.159110942794,"BRAY ST CHRISTOPHE|CUGNY|HAPPENCOURT|OLLEZY|SOMMETTE EAUCOURT|JUSSY|PITHON|ANNOIS|ARTEMPS|DURY"
"OK","France","02490","02490 France",49.89523218187,3.15800437521,"TREFCON|VENDELLES|JEANCOURT|PONTRU|MAISSEMY|ATTILLY|CAULAINCOURT|PONTRUET|LE VERGUIER|VERMAND"
"OK","France","02500","02500 France",49.8888935172556,4.09033882608556,"WIMY|BUCILLY|HIRSON|LEUZE|MARTIGNY|LUZOIR|MONDREPUIS|ANY MARTIN RIEUX|BEAUME|BESMONT|BUIRE|EPARCY|LA HERIE|LOGNY LES AUBENTON|AUBENTON|EFFRY|NEUVE MAISON|OHIS"
"OK","France","02510","02510 France",49.97937278285,3.6421789401775,"VENEROLLES|IRON|ETREUX|HANNAPES"
"OK","France","02520","02520 France",49.7047240534,3.19451403575,"FLAVY LE MARTEL"
"OK","France","02540","02540 France",48.9098864698333,3.45692308820333,"ROZOY BELLEVALLE|MONTFAUCON|L EPINE AUX BOIS|VIELS MAISONS|DHUYS ET MORIN EN BRIE|VENDIERES|VIFFORT"
"OK","France","02550","02550 France",49.8861904623,4.01101149757,"ORIGNY EN THIERACHE"
"OK","France","02570","02570 France",48.9666306856667,3.39095261276333,"LA CHAPELLE SUR CHEZY|ESSISES|CHEZY SUR MARNE"
"OK","France","02580","02580 France",49.9023365876667,3.88750810438,"AUTREPPES|SORBAIS|ETREAUPONT"
